doi,short_name,uniprotkb,protein,genbank_id
10.1007.s00253-015-6732-9,ptsG,P69786,PTS system glucose-specific EIICB component,CAL4043268.1
10.1007.s00253-015-6732-9,glpK,P0A6F3,Glycerol kinase,WP_354687570.1
10.1007.s00253-015-6732-9,gapA,P0A9B2,Glyceraldehyde-3-phosphate dehydrogenase A,WP_354690629.1
10.1007.s00253-015-6732-9,yqhD,Q46856,Alcohol dehydrogenase YqhD,WP_354691950.1
10.1007.s00253-015-6791-y,GAL80,P04387,Galactose/lactose metabolism regulatory protein GAL80,CAL1760262.1
10.1007.s00253-015-6809-5,fadE,Q47146,Acyl-coenzyme A dehydrogenase,WP_354523023.1
10.1007.s00253-015-6809-5,aar,A0A3K9T7Q1,AggR-activated transcriptional regulator Aar,XBW74250.1
10.1007.s00253-015-6816-6,fumA,P0AC33,"Fumarate hydratase class I, aerobic",TQR37089.1
10.1007.s00253-015-6816-6,ptsG,P69786,PTS system glucose-specific EIICB component,CAL4043268.1
10.1007.s00253-015-6816-6,fumB,P14407,"Fumarate hydratase class I, anaerobic",WP_354651532.1
10.1007.s00253-015-6816-6,fumC,P05042,Fumarate hydratase class II,WP_354691357.1
10.1007.s00253-015-6816-6,aspA,P0AC38,Aspartate ammonia-lyase,WP_354685082.1
10.1007.s00253-015-6816-6,sfcA,A0A0H3PKH3,NAD-dependent malic enzyme,WP_354691994.1
10.1007.s00253-015-6816-6,arcA,P0A9Q1,Aerobic respiration control protein ArcA,XCN43295.1
10.1007.s00253-015-6816-6,ackA,P0A6A3,Acetate kinase,WP_354688381.1
10.1007.s00253-015-6816-6,lacI,P03023,Lactose operon repressor,WP_010493381.1
10.1007.s00253-015-6816-6,iclR,P16528,Transcriptional repressor IclR,XCO06021.1
10.1007.s00253-015-6816-6,maeB,P76558,NADP-dependent malic enzyme,WP_354691994.1
10.1007.s00253-015-6816-6,ppc,P00864,Phosphoenolpyruvate carboxylase,WP_354692337.1
10.1007.s00253-015-6847-z,GLR1,P41921,Glutathione reductase,WP_354692263.1
10.1007.s00253-015-6847-z,ERO1,Q03103,Endoplasmic oxidoreductin-1,XP_015628190.1
10.1007.s00253-015-6847-z,ERV1,P27882,Mitochondrial FAD-linked sulfhydryl oxidase ERV1,NP_001396910.1
10.1007.s00253-015-6990-6,srfA,P27206,Surfactin synthase subunit 1,XP_065902261.1
10.1007.s00253-015-7013-3,budA,A0A3L0VYQ2,Alpha-acetolactate decarboxylase,WP_354656165.1
10.1007.s00253-015-7013-3,ydjL,P77539,Uncharacterized zinc-type alcohol dehydrogenase-like protein YdjL,P77539.1
10.1007.s00253-015-7026-y,fadE,Q47146,Acyl-coenzyme A dehydrogenase,WP_354523023.1
10.1007.s00253-015-7026-y,yqhD,Q46856,Alcohol dehydrogenase YqhD,WP_354691950.1
10.1007.s00253-015-7026-y,fadD,P69451,Long-chain-fatty-acid--CoA ligase,WP_354687268.1
10.1007.s00253-015-7026-y,aar,A0A3K9T7Q1,AggR-activated transcriptional regulator Aar,XBW74250.1
10.1007.s00253-015-7026-y,fadR,P0A8V6,Fatty acid metabolism regulator protein,XCO03366.1
10.1007.s00253-015-7028-9,FAA4,P47912,Long-chain-fatty-acid--CoA ligase 4,NP_956943.1
10.1007.s00253-015-7028-9,FAA1,P30624,Long-chain-fatty-acid--CoA ligase 1,XP_066172979.1
10.1007.s00253-015-7048-5,ilvE,P0AB80,Branched-chain-amino-acid aminotransferase,WP_354684651.1
10.1007.s00253-015-7048-5,tyrB,P04693,Aromatic-amino-acid aminotransferase,XCN43676.1
10.1007.s00253-015-7048-5,aspC,P00509,Aspartate aminotransferase,WP_354692627.1
10.1007.s00253-015-7094-z,Xyl2,C7GQP5,Xyl2p,XP_747006.2
10.1007.s00253-015-7094-z,Xks1,G3FCP2,Xylulose kinase,XP_066207616.1
10.1007.s00253-015-7167-z,HXT7,P39004,High-affinity hexose transporter HXT7,DAA06788.2
10.1007.s00253-015-7174-0,GPD2,P41911,"Glycerol-3-phosphate dehydrogenase [NAD(+)] 2, mitochondrial",XP_066201189.1
10.1007.s00253-015-7174-0,GPD1,Q00055,Glycerol-3-phosphate dehydrogenase [NAD(+)] 1,WP_354688608.1
10.1007.s00253-015-7174-0,JEN1,P36035,Carboxylic acid transporter protein homolog,XBA50428.1
10.1007.s00253-015-7174-0,ADH1,P00330,Alcohol dehydrogenase 1,WP_354691552.1
10.1007.s00253-015-7174-0,PDC1,P06169,Pyruvate decarboxylase isozyme 1,NP_001277043.1
10.1007.s00253-015-7174-0,DLD1,P32891,"D-lactate dehydrogenase [cytochrome] 1, mitochondrial",XP_066205523.1
10.1007.s00253-016-7375-1,ERG20,P08524,Farnesyl pyrophosphate synthase,XP_066168481.1
10.1007.s00253-016-7375-1,IDI1,P15496,Isopentenyl-diphosphate delta-isomerase,WP_354692386.1
10.1007.s00253-016-7375-1,HMG1,P12683,3-hydroxy-3-methylglutaryl-coenzyme A reductase 1,WP_354681421.1
10.1007.s00253-016-7695-1,lysE,P94633,Lysine exporter LysE,WP_354620197.1
10.1007.s00253-016-7705-3,pikC,A0A231HAQ6,Cytochrome P450 monooxygenase PikC,XAY08524.1
10.1007.s00253-016-7772-5,aroH,P00887,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive",CAL4042386.1
10.1007.s00253-016-7772-5,aroF,P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",P0A1B6.1
10.1007.s00253-016-7772-5,tnaA,P0A853,Tryptophanase,WP_354688478.1
10.1007.s00253-016-7772-5,TnaB,A0A6D0IL32,Low affinity tryptophan permease TnaB,XCO05747.1
10.1007.s00253-016-7772-5,aroG,P0AB91,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive",P0AB91.1
10.1007.s00253-016-7772-5,serA,P0A9T0,D-3-phosphoglycerate dehydrogenase,XP_066233388.1
10.1007.s00253-016-7772-5,trpE,P00895,Anthranilate synthase component 1,WP_354687696.1
10.1007.s00253-016-7789-9,pqsR,A0A7G9KWC2,Autoinducer synthesis protein PqsR,QNM80619.1
10.1007.s00253-016-7815-y,DGA1,A0A191UMW0,Diacylglycerol O-acyltransferase,WP_322457743.1
10.1007.s00253-016-7815-y,SCD,A0A191UMV5,Delta-9 fatty acid desaturase,XCN78159.1
10.1007.s00253-016-7815-y,DGA,C6KZS6,Diacylglycerol O-acyltransferase,WP_322457743.1
10.1007.s00253-016-7815-y,ACC1,A0A2Z6EYS6,Acetyl-CoA carboxylase,WP_354692903.1
10.1007.s00253-016-7815-y,ME,A0A191UMV6,Malic enzyme,WP_354691994.1
10.1007.s00253-016-8033-3,TesB,B7L690,TesB protein,XCO02684.1
10.1007.s00253-016-8033-3,PaaF,A0A0E1T210,Enoyl-CoA hydratase PaaF,BCF89766.1
10.1007.s00253-016-8033-3,PaaJ,A0A0K3IU28,Phenylacetate-CoA oxygenase subunit PaaJ,XAG53012.1
10.1007.s00253-016-8033-3,PaaH,A0A0E1STK3,3-hydroxybutyryl-CoA dehydrogenase PaaH,GAW50498.1
10.1007.s00253-016-8046-y,ERG25,P53045,C-4 methylsterol oxidase ERG25,DAA08156.1
10.1007.s00253-016-8046-y,XYL2,Q07993,D-xylulose reductase,DAA09387.1
10.1007.s00253-017-8162-3,gabT,P22256,4-aminobutyrate aminotransferase GabT,GAA19652.1
10.1007.s00253-017-8162-3,waaC,P0DX54,Lipopolysaccharide heptosyltransferase 1,WP_354691646.1
10.1007.s00253-017-8162-3,xylB,P09099,Xylulose kinase,XP_066207616.1
10.1007.s00253-017-8162-3,puuE,P50457,4-aminobutyrate aminotransferase PuuE,CAL4869343.1
10.1007.s00253-017-8162-3,sucA,P0AFG3,2-oxoglutarate dehydrogenase E1 component,WP_354688041.1
10.1007.s00253-017-8162-3,gabP,P25527,Gamma-aminobutyric acid permease,P46349.3
10.1007.s00253-017-8162-3,xylA,P00944,Xylose isomerase,XCO05607.1
10.1007.s00253-017-8162-3,waaF,P37692,Lipopolysaccharide heptosyltransferase 2,WP_354682871.1
10.1007.s00253-017-8162-3,gdhA,P00370,NADP-specific glutamate dehydrogenase,WP_354691284.1
10.1007.s00253-017-8162-3,torA,P33225,Trimethylamine-N-oxide reductase 1,WP_354688795.1
10.1007.s00253-017-8162-3,gadB,P69910,Glutamate decarboxylase beta,WP_354341071.1
10.1007.s00253-017-8200-1,ack,Q66SZ0,Acetate kinase,WP_354688381.1
10.1007.s00253-017-8202-z,TPI1,P00942,Triosephosphate isomerase,XP_066214244.1
10.1007.s00253-017-8202-z,ILV2,P07342,"Acetolactate synthase catalytic subunit, mitochondrial",DAA07472.1
10.1007.s00253-017-8202-z,GPD1,Q00055,Glycerol-3-phosphate dehydrogenase [NAD(+)] 1,WP_354688608.1
10.1007.s00253-017-8202-z,GPP2,P40106,Glycerol-1-phosphate phosphohydrolase 2,P41277.3
10.1007.s00253-017-8202-z,FPS1,P23900,Glycerol uptake/efflux facilitator protein,P0AER0.1
10.1007.s00253-017-8308-3,pdc,A0A067Z5Y9,pyruvate decarboxylase,WP_354686250.1
10.1007.s00253-017-8408-0,pykF,Q9I3L4,Pyruvate kinase,WP_354688665.1
10.1007.s00253-017-8408-0,rpeA,A0A379IEG0,histidine kinase,WP_354692838.1
10.1007.s00253-017-8408-0,phzF,O69754,"Trans-2,3-dihydro-3-hydroxyanthranilate isomerase",XAY05429.1
10.1007.s00253-017-8408-0,ppsA,A0A0C7CWA4,Phosphoenolpyruvate synthase,WP_354682286.1
10.1007.s00253-017-8408-0,tktA,A0A024HQ60,Transketolase,WP_354692635.1
10.1007.s00253-017-8459-2,glpF,A0A345FZU3,Glycerol facilitator,XCO05944.1
10.1007.s00253-018-09588-9,pflB,P09373,Formate acetyltransferase 1,GMM63204.1
10.1007.s00253-018-8744-8,aceK,P11071,Isocitrate dehydrogenase kinase/phosphatase,WP_353799184.1
10.1007.s00253-018-8744-8,aceA,P0A9G6,Isocitrate lyase,WP_354685213.1
10.1007.s00253-018-8744-8,ycdW,A0A024L457,Glyoxylate/hydroxypyruvate reductase A,WP_354685868.1
10.1007.s00253-018-8744-8,YjhG,P39358,D-xylonate dehydratase YjhG,WP_354651271.1
10.1007.s00253-018-8744-8,yagE,P75682,Putative 2-dehydro-3-deoxy-D-gluconate aldolase YagE,CAI9389035.1
10.1007.s00253-018-8744-8,aldA,P25553,Lactaldehyde dehydrogenase,DAA10635.1
10.1007.s00253-018-8744-8,YagF,P77596,D-xylonate dehydratase YagF,CAI9389033.1
10.1007.s00253-018-8744-8,YagE,P75682,Putative 2-dehydro-3-deoxy-D-gluconate aldolase YagE,CAI9389035.1
10.1007.s00253-018-8744-8,AldA,A0A192C739,AldA,WP_354690631.1
10.1007.s00253-018-8911-y,ilvA,A0A160PTS9,L-threonine dehydratase,XCN43895.1
10.1007.s00253-018-8911-y,Hom,P08499,Homoserine dehydrogenase,WP_354689585.1
10.1007.s00253-018-8954-0,thl,E3VJQ0,Acetyl-CoA acetyltransferase,XCO04368.1
10.1007.s00253-018-8954-0,pfkA,W6N3A6,ATP-dependent 6-phosphofructokinase,BFO15393.1
10.1007.s00253-018-9017-2,panC,A0A161J7W1,Pantothenate synthetase,WP_354688406.1
10.1007.s00253-018-9025-2,ilvN,H7C6A7,Acetolactate synthase small subunit,WP_354688763.1
10.1007.s00253-018-9025-2,serA,A0A160PT68,D-3-phosphoglycerate dehydrogenase,XP_066233388.1
10.1007.s00253-018-9103-5,phaR,A0A2L1K534,PhaR,WP_354685834.1
10.1007.s00253-018-9208-x,thiG,A6LTL5,Thiazole synthase,WP_354692831.1
10.1007.s00253-018-9208-x,thiE,A6M1W6,Thiamine-phosphate synthase,WP_354692833.1
10.1007.s00253-018-9208-x,thiC,A6M1W8,Phosphomethylpyrimidine synthase,WP_354692834.1
10.1007.s00253-018-9305-x,ADH1,P00330,Alcohol dehydrogenase 1,WP_354691552.1
10.1007.s00253-018-9316-7,hom,P19582,Homoserine dehydrogenase,WP_354689585.1
10.1007.s00253-018-9316-7,pdp,P39142,Pyrimidine-nucleoside phosphorylase,WP_306402742.1
10.1007.s00253-018-9316-7,prs,P14193,Ribose-phosphate pyrophosphokinase,XCO10662.1
10.1007.s00253-018-9316-7,nupC,A0A063XJ19,Nucleoside permease,WP_354692044.1
10.1007.s00253-018-9316-7,bdhA,O34788,"(R,R)-butanediol dehydrogenase",DAA06929.2
10.1007.s00253-018-9316-7,pyrR,P39765,Bifunctional protein PyrR,WP_354682065.1
10.1007.s00253-018-9316-7,alsS,Q04789,Acetolactate synthase,WP_354692504.1
10.1007.s00253-018-9316-7,pyrAB,P25994,Carbamoyl phosphate synthase pyrimidine-specific large chain,WP_016292599.1
10.1007.s00253-018-9330-9,crtY,Q01331,Lycopene beta-cyclase,WP_354667439.1
10.1007.s00253-018-9472-9,idi,Q46822,Isopentenyl-diphosphate Delta-isomerase,WP_354692386.1
10.1007.s00253-018-9547-7,aecD,Q46061,cysteine-S-conjugate beta-lyase,DAA12497.1
10.1007.s00253-018-9547-7,glyA,A0A160PN93,Serine hydroxymethyltransferase,WP_354689290.1
10.1007.s00253-018-9547-7,nadE,A0A160PVR8,NH(3)-dependent NAD(+) synthetase,A6TQC4.1
10.1007.s00253-018-9547-7,serA,A0A160PT68,D-3-phosphoglycerate dehydrogenase,XP_066233388.1
10.1007.s00253-018-9547-7,cysE,A0A169S2T8,Serine acetyltransferase,WP_354680320.1
10.1007.s00253-019-09737-8,ppc,P12880,Phosphoenolpyruvate carboxylase,WP_354692337.1
10.1007.s00253-019-09737-8,ldhA,Q6F5A8,L-lactate dehydrogenase,WP_354691639.1
10.1007.s00253-019-09737-8,TPI,P19583,Triosephosphate isomerase,XP_066214244.1
10.1007.s00253-019-09737-8,zwf,A0A0U4QBW7,Glucose-6-phosphate 1-dehydrogenase,XP_066165338.1
10.1007.s00253-019-09772-5,puuC,A0A1K0DWJ0,Aldehyde dehydrogenase PuuC,XCO03476.1
10.1007.s00253-019-09807-x,ALD6,P54115,"Magnesium-activated aldehyde dehydrogenase, cytosolic",P54115.4
10.1007.s00253-019-09815-x,arcA,P0A9Q1,Aerobic respiration control protein ArcA,XCN43295.1
10.1007.s00253-019-09815-x,fnr,P0A9E5,Fumarate and nitrate reduction regulatory protein,XCN43796.1
10.1007.s00253-019-10118-4,aecD,Q46061,cysteine-S-conjugate beta-lyase,DAA12497.1
10.1007.s00253-019-10155-z,dacB,P24228,D-alanyl-D-alanine carboxypeptidase DacB,WP_354661709.1
10.1007.s00253-019-10230-5,bcd,Q65HK5,Leucine dehydrogenase,WP_354678102.1
10.1007.s00253-020-10359-8,pta,P0A9M8,Phosphate acetyltransferase,WP_354690204.1
10.1007.s00253-020-10359-8,pflB,P09373,Formate acetyltransferase 1,GMM63204.1
10.1007.s00253-020-10359-8,adhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1007.s00253-020-10359-8,ldhA,P52643,D-lactate dehydrogenase,WP_354690256.1
10.1007.s00253-020-10482-6,gshA,P0A6W9,Glutamate--cysteine ligase,WP_354692179.1
10.1007.s00253-020-10556-5,pta,P77844,Phosphate acetyltransferase,WP_354690204.1
10.1007.s00253-020-10556-5,ppc,P12880,Phosphoenolpyruvate carboxylase,WP_354692337.1
10.1007.s00253-020-10556-5,cat,Q712M7,Chloramphenicol acetyltransferase,WP_354684169.1
10.1007.s00253-020-10556-5,ack,P77845,Acetate kinase,WP_354688381.1
10.1007.s00253-020-10556-5,ldhA,Q6F5A8,L-lactate dehydrogenase,WP_354691639.1
10.1007.s00253-020-10556-5,pyc,A0A0C5AH51,Pyruvate carboxylase,WP_354674127.1
10.1007.s00253-020-10610-2,fabI,P0AEK4,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI,WP_327973770.1
10.1007.s00253-020-10619-7,ltaE,A0A0P7DP49,L-threonine aldolase,WP_354683983.1
10.1007.s00253-020-10619-7,prpC,A0A0P7D5S5,Citrate synthase,WP_354690523.1
10.1007.s00253-020-10619-7,tdcB,A0A379KQ64,Putative threonine dehydratase,XP_066022224.1
10.1007.s00253-020-10772-z,ADH2,P00331,Alcohol dehydrogenase 2,WP_354692328.1
10.1007.s00253-020-10772-z,BAT1,P38891,"Branched-chain-amino-acid aminotransferase, mitochondrial",XP_066230058.1
10.1007.s00253-020-10772-z,FIT2,Q08906,Facilitator of iron transport 2,DAA08160.1
10.1007.s00253-020-10772-z,OPT2,Q06593,Oligopeptide transporter 2,XCO03418.1
10.1007.s00253-020-10772-z,EEB1,Q02891,Medium-chain fatty acid ethyl ester synthase/esterase 1,CAK7897150.1
10.1007.s00253-020-10772-z,ERG2,P32352,C-8 sterol isomerase ERG2,KAL0640468.1
10.1007.s00253-020-10772-z,FET3,P38993,Iron transport multicopper oxidase FET3,DAA09956.1
10.1007.s00253-020-10772-z,ACC1,Q00955,Acetyl-CoA carboxylase,WP_354692903.1
10.1007.s00253-020-10772-z,COM2,A0A6L0Z9A7,COM2 isoform 1,
10.1007.s00253-020-10772-z,ARO7,P32178,Chorismate mutase,XCO08872.1
10.1007.s00253-020-10772-z,GCN1,P33892,eIF-2-alpha kinase activator GCN1,KAL0610568.1
10.1007.s00253-020-10772-z,ERG5,P54781,C-22 sterol desaturase ERG5,KAL0638142.1
10.1007.s00253-020-10772-z,ERG6,P25087,Sterol 24-C-methyltransferase ERG6,DAA09890.1
10.1007.s00253-020-10772-z,FTR1,P40088,Plasma membrane iron permease,DAA09956.1
10.1007.s00253-020-10772-z,ATF2,P53296,Alcohol O-acetyltransferase 2,WP_054467080.1
10.1007.s00253-020-10772-z,OLE1,P21147,Acyl-CoA desaturase 1,WP_322456847.1
10.1007.s00253-020-10772-z,ARO8,P53090,Aromatic/aminoadipate aminotransferase 1,KAL0639627.1
10.1007.s00253-020-10772-z,SIT1,P39980,Siderophore iron transporter 1,WP_354680301.1
10.1007.s00253-020-10772-z,TIS11,P47977,mRNA decay factor CTH2,XP_502167.2
10.1007.s00253-020-10772-z,ERG1,P32476,Squalene epoxidase ERG1,KAL0633258.1
10.1007.s00253-020-10772-z,Haa1,C7GV33,Haa1p,DAA11435.1
10.1007.s00253-020-10772-z,TMC1,Q08422,AN1-type zinc finger protein TMC1,DAA10833.1
10.1007.s00253-020-10772-z,IZH4,Q99393,ADIPOR-like receptor IZH4,Q99393.1
10.1007.s00253-020-10772-z,EHT1,P38295,Medium-chain fatty acid ethyl ester synthase/esterase 2,KAK7840194.1
10.1007.s00253-020-10772-z,ATF1,P40353,Alcohol O-acetyltransferase 1,WP_054467080.1
10.1007.s00253-020-10772-z,INO1,P11986,Inositol-3-phosphate synthase,WP_322454257.1
10.1007.s00253-020-10819-1,lacZ,P00722,Beta-galactosidase,WP_354691818.1
10.1007.s00253-020-10819-1,AlsS,A0A3L0VW79,Acetolactate synthase AlsS,WP_354690715.1
10.1007.s00253-020-10920-5,trxB,P0A9P4,Thioredoxin reductase,WP_354689722.1
10.1007.s00253-020-10920-5,gor,P06715,Glutathione reductase,WP_354692263.1
10.1007.s00253-020-10933-0,adhE,A0A0J2HQC8,Aldehyde-alcohol dehydrogenase,XAM47746.1
10.1007.s00253-020-10933-0,pta,A0A6B8N3C3,phosphate acetyltransferase,WP_354690204.1
10.1007.s00253-020-10933-0,ackA,A0A0H3HK55,Acetate kinase,WP_354688381.1
10.1007.s00253-021-11108-1,iclR,P16528,Transcriptional repressor IclR,XCO06021.1
10.1007.s00253-021-11108-1,sdhA,P0AC41,Succinate dehydrogenase flavoprotein subunit,WP_354687949.1
10.1007.s00253-021-11108-1,ldhA,P52643,D-lactate dehydrogenase,WP_354690256.1
10.1007.s00253-021-11164-7,gntP,D7C3W9,Putative gluconate permease,CAB13843.1
10.1007.s00253-021-11385-w,LdhA,B7L5B8,LdhA protein,XCO03526.1
10.1007.s00253-021-11385-w,ubiG,P17993,Ubiquinone biosynthesis O-methyltransferase,WP_354690221.1
10.1007.s00253-021-11385-w,AdhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1007.s00253-021-11385-w,atoB,P76461,Acetyl-CoA acetyltransferase,XCO04368.1
10.1007.s00253-021-11385-w,tesB,P0AGG2,Acyl-CoA thioesterase 2,XCO06392.1
10.1007.s00253-021-11415-7,ADH1,Q9UW08,alcohol dehydrogenase,WP_354692497.1
10.1007.s00253-021-11415-7,PEX10,Q9P4U5,RING-type E3 ubiquitin transferase,NP_001028307.2
10.1007.s00253-021-11415-7,lip2,Q9P8F7,triacylglycerol lipase,WP_354683916.1
10.1007.s00253-021-11445-1,GAL80,P04387,Galactose/lactose metabolism regulatory protein GAL80,CAL1760262.1
10.1007.s00253-021-11445-1,Dpp1,C7GQT5,Dpp1p,DAA10452.1
10.1007.s00253-021-11476-8,aroQ,A0A067Z0X9,3-dehydroquinate dehydratase,WP_354691707.1
10.1007.s00253-021-11696-y,ldh,A0A169S8E9,L-lactate dehydrogenase,WP_354691639.1
10.1007.s00253-021-11696-y,panD,A0A169RN32,Aspartate 1-decarboxylase,WP_354686926.1
10.1007.s00253-022-12109-4,argR,O85175,Arginine repressor,WP_336675198.1
10.1007.s00253-022-12109-4,argJ,A0A160PPB2,Arginine biosynthesis bifunctional protein ArgJ,XAY05463.1
10.1007.s00253-022-12210-8,lcdC,G3KIM5,Activator of lactoyl-CoA dehydratase,WP_354691770.1
10.1007.s00253-022-12210-8,acrC,G3KIM8,Acryloyl-CoA reductase (NADH),XAY08520.1
10.1007.s00253-022-12210-8,acrB,G3KIM7,Acryloyl-CoA reductase electron transfer subunit gamma,WP_353912463.1
10.1007.s00253-022-12210-8,lcdB,G3KIM3,Lactoyl-CoA dehydratase subunit beta,G3KIM3.1
10.1007.s00253-022-12210-8,acrA,G3KIM6,Acryloyl-CoA reductase electron transfer subunit beta,WP_353912462.1
10.1007.s00253-022-12210-8,lcdA,G3KIM4,Lactoyl-CoA dehydratase subunit alpha,WP_352401038.1
10.1007.s00253-022-12210-8,ldhD,A0A173ZIY7,D-lactate dehydrogenase,WP_354690256.1
10.1007.s00253-022-12210-8,pct,Q9L3F7,Propionate CoA-transferase,WP_142509703.1
10.1007.s00253-023-12397-4,aroP,Q46065,Aromatic amino acid transport protein AroP,CAL5246350.1
10.1007.s00253-023-12397-4,trpE,P06557,Anthranilate synthase component 1,WP_354687696.1
10.1007.s00253-023-12590-5,RapF,A3KLD4,Response regulator aspartate phosphatase RapF,XCN10550.1
10.1007.s00253-023-12590-5,SrfAD,A0A6A8LLR3,Surfactin biosynthesis thioesterase SrfAD,XCN21211.1
10.1007.s00253-023-12658-2,PDC1,P33149,Pyruvate decarboxylase,WP_354686250.1
10.1007.s00253-023-12662-6,pheA,P0A9J8,Bifunctional chorismate mutase/prephenate dehydratase,XCO04699.1
10.1007.s00253-023-12662-6,tyrA,P07023,T-protein,WP_354689847.1
10.1007.s00253-023-12662-6,tktA,P27302,Transketolase 1,WP_354690101.1
10.1007.s00253-023-12662-6,aroL,P0A6E1,Shikimate kinase 2,XCO02624.1
10.1007.s00253-023-12662-6,ppsA,P23538,Phosphoenolpyruvate synthase,WP_354682286.1
10.1007.s00253-023-12662-6,aroG,P0AB91,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive",P0AB91.1
10.1007.s00253-023-12662-6,pchB,A0A0H3JF58,PchABC family transcriptional regulator,GAA0048495.1
10.1007.s00253-023-12662-6,entC,P0AEJ2,Isochorismate synthase EntC,WP_354692610.1
10.1007.s00253-023-12784-x,IDI,Q46822,Isopentenyl-diphosphate Delta-isomerase,WP_354692386.1
10.1007.s00253-023-12784-x,DXS,P77488,1-deoxy-D-xylulose-5-phosphate synthase,WP_354684001.1
10.1007.s00253-023-12797-6,dld,Q0K755,D-lactate dehydrogenase (cytochrome),XP_015644610.1
10.1007.s00253-023-12797-6,lutA,A0A1K0J5M6,Lactate utilization protein A,WP_354691639.1
10.1007.s00253-023-12797-6,ldhA,F8GVT7,Quinone-dependent D-lactate dehydrogenase,GAA5639427.1
10.1007.s002530051301,URA1,A3LPT0,"Dihydroorotate dehydrogenase (quinone), mitochondrial",XP_066204860.1
10.1007.s002530051632,dxs,P77488,1-deoxy-D-xylulose-5-phosphate synthase,WP_354684001.1
10.1007.s00284-012-0271-8,dhaB,Q59476,Glycerol dehydrase alpha subunit,3AUJ_M
10.1007.s00284-019-01752-2,ura3,Q9HFF7,Orotidine 5'-phosphate decarboxylase,WP_354690662.1
10.1007.s00284-019-01752-2,gal80,A0A6C1DTY4,Transcription regulator gal80,DAA09848.1
10.1007.s00284-020-01888-6,lysA,P00861,Diaminopimelate decarboxylase,WP_354692438.1
10.1007.s002840010255,aroF,P00888,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive",P0A1B6.1
10.1007.s002840010255,pheA,P0A9J8,Bifunctional chorismate mutase/prephenate dehydratase,XCO04699.1
10.1007.s002840010255,malT,P06993,HTH-type transcriptional regulator MalT,WP_354676331.1
10.1007.s002840010255,aroG,P0AB91,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive",P0AB91.1
10.1007.s002840010255,csrA,P69913,Carbon storage regulator,XCO04752.1
10.1007.s002840010255,tktA,P27302,Transketolase 1,WP_354690101.1
10.1007.s00449-007-0159-3,pta,P0A9M8,Phosphate acetyltransferase,WP_354690204.1
10.1007.s00449-007-0159-3,ack,P0A6A3,Acetate kinase,WP_354688381.1
10.1007.s00449-009-0339-4,pta,Q65TV5,Phosphate acetyltransferase,WP_354690204.1
10.1007.s00449-009-0339-4,ackA,Q65TV4,Acetate kinase,WP_354688381.1
10.1007.s00449-009-0339-4,ldhA,Q65QS4,LdhA protein,XCO03526.1
10.1007.s00449-009-0339-4,Lpd,Q65R18,Lpd protein,XCN42368.1
10.1007.s00449-011-0641-9,XYL2,A0A367YJ87,D-xylulose reductase,DAA09387.1
10.1007.s00449-011-0641-9,URA3,O42771,Orotidine 5'-phosphate decarboxylase,WP_354690662.1
10.1007.s00449-011-0641-9,gnd,B6VEZ7,"6-phosphogluconate dehydrogenase, decarboxylating",BFO17300.1
10.1007.s00449-012-0760-y,ndh,A0A7W4LXX3,NADH dehydrogenase,WP_354671660.1
10.1007.s00449-013-1003-6,galK,P0A6T3,Galactokinase,WP_354692549.1
10.1007.s00449-013-1003-6,dgoK,P31459,2-dehydro-3-deoxygalactonokinase,WP_354692499.1
10.1007.s00449-016-1703-9,tpiA,P0A858,Triosephosphate isomerase,XP_066214244.1
10.1007.s00449-016-1703-9,glpK,P0A6F3,Glycerol kinase,WP_354687570.1
10.1007.s00449-016-1703-9,adhE,P0A9Q7,Bifunctional aldehyde-alcohol dehydrogenase AdhE,P0A9Q7.2
10.1007.s00449-016-1703-9,frdC,P0A8Q0,Fumarate reductase subunit C,WP_322454302.1
10.1007.s00449-016-1703-9,mgsA,P0A731,Methylglyoxal synthase,WP_354688504.1
10.1007.s00449-016-1703-9,ldhA,P52643,D-lactate dehydrogenase,WP_354690256.1
10.1007.s00449-016-1732-4,tuaD,O32271,UDP-glucose 6-dehydrogenase TuaD,XAY04769.1
10.1007.s00449-016-1732-4,gtaB,Q05852,UTP--glucose-1-phosphate uridylyltransferase,WP_354680227.1
10.1007.s00449-016-1732-4,gcaD,A0A9P1JCA4,Bifunctional protein GlmU,WP_354692489.1
10.1007.s00449-018-1977-1,pflB,P09373,Formate acetyltransferase 1,GMM63204.1
10.1007.s00449-018-1977-1,pgi,P0A6T1,Glucose-6-phosphate isomerase,WP_354688646.1
10.1007.s00449-018-1977-1,ptsG,P69786,PTS system glucose-specific EIICB component,CAL4043268.1
10.1007.s00449-018-1977-1,poxB,P07003,Pyruvate dehydrogenase [ubiquinone],WP_354691852.1
